LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
873;-43,29259343;-22,90538302;GR08;BAIXADA2
874;-46,51323204;-23,67281664;GR01;ABCD-SP
875;-47,8788423;-15,86490514;GR10;BRASÍLIA
876;-46,85785887;-23,47967908;GR01;TABOÃO/OSASCO
877;-46,65555036;-23,60283619;GR01;ZONA SUL-SP
878;-46,57554671;-23,64657372;GR01;ABCD-SP
879;-43,03006102;-22,94854252;GR12;RIO NITERÓI
880;-43,456815;-23,012186;GR03;BARRA/IPANEMA
881;-49,29464857;-25,42952405;GR05;CURITIBA
882;-46,66878749;-23,59536524;GR01;ZONA SUL-SP
883;-45,894845;-23,19828;GR09;VALE DO PARAIBA - SP
884;-45,90798333;-23,20787407;GR09;VALE DO PARAIBA - SP
885;-45,88443868;-23,2272305;GR09;VALE DO PARAIBA - SP
886;-43,17819088;-22,93895798;GR08;BAIXADA2
887;-43,18382378;-22,951119;GR03;RIO ZONA OESTE
888;-43,96231998;-19,85279685;GR02;MG INTERIOR
889;-43,37407503;-22,92453543;GR03;RIO ZONA OESTE
890;-38,48648414;-3,742754724;GR09;CEARÁ 2
891;-38,48885767;-3,736079932;GR09;CEARÁ 1
892;-43,46511686;-22,87959508;GR03;RIO ZONA OESTE
893;-43,19081306;-22,978325;GR03;BARRA/IPANEMA
895;-46,65206395;-23,47108979;GR01;ABCD-SP
896;-43,209075;-22,805565;GR08;BAIXADA2
897;-43,2418;-22,93143;GR08;BAIXADA2
899;-43,35055571;-23,00049285;GR03;BARRA/IPANEMA
900;-43,2823984;-22,88726669;GR03;RIO ZONA OESTE
901;-46,657855;-23,547865;GR01;ZONA SUL-SP
902;-46,68848154;-23,55472733;GR01;ZONA SUL-SP
904;-46,56630355;-23,54515973;GR01;ZONA LESTE-SP
905;-46,69664481;-23,63728471;GR01;ZONA SUL-SP
907;-38,49592776;-3,747409276;GR09;CEARÁ 2
908;-47,04737665;-22,89619448;GR04;CAMPINAS
909;-47,07798927;-22,8884633;GR04;CAMPINAS
911;-46,67647892;-23,59547769;GR01;CENTRO-SP
912;-46,837591;-23,592967;GR01;TABOÃO/OSASCO
913;-43,19307718;-22,52552681;GR12;REG. SERRANA/MG INT
915;-46,61104139;-23,49234677;GR01;ABCD-SP
916;-47,07920165;-22,82695096;GR04;CAMPINAS
917;-38,49711007;-3,726917341;GR09;CEARÁ 1
918;-46,6987896;-23,57177107;GR01;ZONA SUL-SP
920;-46,73665744;-23,63818084;GR01;ZONA SUL-SP
921;-46,738299;-23,61253088;GR01;ZONA SUL-SP
923;-43,10952496;-22,90814054;GR12;RIO NITERÓI
924;-43,30516;-23,012335;GR03;BARRA/IPANEMA
925;-46,64289257;-23,58782335;GR01;CENTRO-SP
926;-46,6333935;-23,56783862;GR01;ZONA SUL-SP
927;-46,6098752;-23,59710557;GR01;ABCD-SP
930;-51,94309161;-23,42102155;GR05;PARANA/SP INT
934;-40,29764408;-20,29934952;GR02;ESPIRITO SANTO
936;-47,89000376;-22,01149245;GR04;SP INTERIOR
942;-40,26967003;-20,25608686;GR02;ESPIRITO SANTO
954;-43,18475277;-22,89744009;GR12;RIO NITERÓI
955;-46,94253775;-23,48913715;GR01;TABOÃO/OSASCO
956;-43,51337;-22,743596;GR08;BAIXADA
957;-46,930552;-23,511932;GR01;TABOÃO/OSASCO
960;-46,76405921;-23,52633275;GR01;TABOÃO/OSASCO
961;-43,66432964;-22,88276581;GR08;BAIXADA
963;-48,60385455;-19,08530997;GR02;TRIANGULO MINEIRO/BH
964;-46,8674265;-23,41559352;GR01;TABOÃO/OSASCO
965;-46,8674265;-23,41559352;GR01;TABOÃO/OSASCO
966;-35,0431623;-8,290095361;GR06;PERNAMBUCO 2
968;-43,696317;-22,693726;GR08;BAIXADA
1000;-44,724548;-23,220985;GR03;RIO ZONA OESTE
1001;-35,31668;-7,51338;GR06;PERNAMBUCO
1002;-48,46705763;-22,92124812;GR04;SP INTERIOR
1003;-48,113266;-15,794867;GR10;TAGUATINGA
1004;-34,89763594;-8,003453063;GR06;PERNAMBUCO
1006;-44,00402297;-19,90196769;GR02;TRIANGULO MINEIRO/BH
1007;-41,753471;-2,909857524;GR13;MARANHÃO/PIAUI
1008;-37,05717975;-10,92501148;GR11;AL/SE
1009;-34,923755;-7,124631;GR06;RIO G NORTE/PARAÍBA
1010;-45,60446234;-23,05213641;GR09;VALE DO PARAIBA - SP
1011;-42,78760096;-5,069942454;GR13;MARANHÃO/PIAUI
1012;-42,81796287;-22,91895407;GR12;REG. DOS LAGOS
